,train_loss,valid_loss,train_accuracy,valid_accuracy,epoch
0,1.3793318711179594,1.3734028260337143,0.2749650837988827,0.3003048780487805,20
1,0.2672729947547007,0.3548001118526771,0.89856843575419,0.8589939024390244,20
2,0.2452928075494047,0.33907019825107076,0.9097416201117319,0.8658536585365854,20
3,0.20788347604554458,0.30659962309206407,0.9177723463687151,0.881859756097561,20
4,0.17815313968994764,0.26874240468222105,0.9334846368715084,0.8925304878048781,20
5,0.1714477746242751,0.2563050812218202,0.934532122905028,0.9032012195121951,20
6,0.16884670421148146,0.24609989112402061,0.9375,0.9092987804878049,20
7,0.16918790914825887,0.25574381987950423,0.9355796089385475,0.9001524390243902,20
8,0.16350617003757195,0.2422113386834631,0.9376745810055865,0.9077743902439024,20
9,0.16527969475481763,0.24814677612129143,0.9366270949720671,0.8986280487804879,20
10,0.17001938634661323,0.257199830369933,0.9355796089385475,0.9016768292682927,20
11,0.16684580937693905,0.25119293076213356,0.9376745810055865,0.899390243902439,20
12,0.16261266867042254,0.2392722361255437,0.9371508379888268,0.9024390243902439,20
13,0.17303917299976895,0.262966733777941,0.9322625698324022,0.8940548780487805,20
14,0.16765982437067192,0.2561082418769507,0.9375,0.8971036585365854,20
15,0.16412319049405652,0.24617619545017255,0.9373254189944135,0.9001524390243902,20
16,0.16673418051204203,0.25018517362385445,0.9366270949720671,0.9001524390243902,20
17,0.16866055647088163,0.25497956484806067,0.9352304469273743,0.899390243902439,20
18,0.16388580487135734,0.24323855818635443,0.9388966480446927,0.9054878048780488,20
19,0.16506361103923628,0.25114606256687605,0.9376745810055865,0.9016768292682927,20
20,0.16435215010323337,0.2499221429773947,0.9397695530726257,0.9032012195121951,20
